logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
149,160,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-10,,CBI1404_OTH_9_10_01,اخذ کد بورسی در شعبه,مبلغ ثابت,FIXED,Flat,62500,,,,,,IRR,,"62,500 ریال",,SAFE,,dcb0f5d86c29e3a1ba7487b883668cea0308706d12bbbee3728c9a2455bfdd53,
150,161,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-11,,CBI1404_OTH_9_11_01,ارائه خدمات مربوط به ETC برای بار اول,مبلغ ثابت,FIXED,Flat,25000,,,,,,IRR,,25000 ریال+ هزینه برچسب,,SAFE,,414a9f5e1a83bae068bb58084d72896a0ee29ac76c500ac9b4301a3691e84369,
151,162,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-12,,CBI1404_OTH_9_12_01,اخذ استعلام وضعیت اعتباری(تسهیالت و تعهدات) و ماده (۱۲) حساب جاری از سامانه بانک مرکزی جهت ارائه به سایر سازمان ها و نهادها,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,,SAFE,,03b16816db7c5005fec42b8377fc95c4a77c1708c8fb7a8555f6cbd9f3a016a3,
152,163,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-12,,CBI1404_OTH_9_12_02,ارائه تصویر مدارک هویتی موجود در پرونده تسهیلاتی یا قراردادهای افتتاح حساب اشخاص حقیقی (وام گیرنده یا صاحب حساب),مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,,SAFE,,1543240eb2e7e8daaf831cf536b15a0785b040e7467eaf916c8f8bfb19100663,
153,164,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-14,,CBI1404_OTH_9_14_01,استعلام مربوط به اخذ فرم ماده (186) قانون مالیات های مستقیم,مبلغ ثابت,FIXED,Flat,87500,,,,,,IRR,,"87,500 ریال",,SAFE,,a32fc20b802a336ca6f43d3ef089d6c902bae1b2e7a828df78e4ccb3f9e9744c,
154,165,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-15,,CBI1404_OTH_9_15_01,استعلام کدپستی به درخواست مشتری(دریافت نشانی، مختصات جغرافیایی، تولید گواهی کد پستی),مبلغ ثابت,FIXED,Flat,6250,,,,,,IRR,,"6,250 ریال+ هزینه استعلام در صورت وجود",,SAFE,,ec877eee6de75003df24599b8eb92eabb4dc01b274bd1fe65fa87477eb5009cd,
155,166,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-15,,CBI1404_OTH_9_15_02,انجام استعلام از مراجع ذی ربط به درخواست مشتری (نظیر استعلام پایان کار ساختمان، بافت فرسوده، بافت ناپایدار، حریم مترو، گسل، پهنه ملک، طرح تفصیلی ملک، وضعیت پرونده شهرسازی، روزنامه رسمی، جواز کسب و کار مشتری),مبلغ ثابت,FIXED,Flat,87500,,,,,,IRR,,"87,500 ریال+ هزینه استعالم در صورت وجود",,SAFE,,c172cde290fe9c08ceab4fd3dae499294cd01da0d728cb05200ae8a7585fc7b3,
156,167,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-17,,CBI1404_OTH_9_17_01,استعلام مالکیت شماره تلفن همراه از سامانه شاهکار,مبلغ ثابت,FIXED,Flat,6250,,,,,,IRR,,"6,250 ریال+ هزینه استعلام در صورت وجود",,SAFE,,93b8f0744a70e01fc33145b0f6622e2492cba1ef9782d1371f966057079745e9,
157,168,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,1,,CBI1404_ELEC_1_01,صدور انواع کارت مغناطیسی هوشمند/ اعتباری,مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,,,,SAFE,,b59c259a72252bec12222596fa85261c57fc0724974e604fbc3220bd74593a99,
158,169,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,2,,CBI1404_ELEC_2_01,صدور انواع کارت مغناطیسی(نقدی، بن کارت، خانواده، هدیه و ...),مبلغ ثابت,FIXED,Flat,45000,,,,,,IRR,,,,SAFE,,0eb7275786f2c50ba410c2ebf0373f611d1b86d41884ce007d191d4e4209bd86,
159,170,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,3,,CBI1404_ELEC_3_01,صدور کارت مجازی برای اشخاص حقیقی,مبلغ ثابت,FIXED,Flat,41250,,,,,,IRR,,,,SAFE,,838d731d1fe80630dbf28d43569021ad9adcf0f6a33e36dd529d44a1b1522efe,
160,171,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,4,,CBI1404_ELEC_4_01,صدور کارت مجازی برای اشخاص حقوقی,مبلغ ثابت,FIXED,Flat,45000,,,,,,IRR,,,,SAFE,,273dfccf4329951830b9e0644f2e3792de63937284b4e995c11208567d20a06f,
161,172,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,5,,CBI1404_ELEC_5_01,اعلام مانده کارت (بین بانکی),مبلغ ثابت,FIXED,Flat,1800,,,,,,IRR,,,,SAFE,,fa55f5bb9ed04e6c1b61baa4dc7d0f7abba5b957f2269037a39b394ff68a7297,
162,173,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,6,,CBI1404_ELEC_6_01,اعلام مانده کارت و صورت حساب 10 گردش آخر- پایانه شعب (بین بانکی),مبلغ ثابت,FIXED,Flat,3300,,,,,,IRR,,,,SAFE,,295ab675fe0b0f540cd3ffa9a94b11af858069144ece7cb2824d43fbd3e04c30,
163,174,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,7,,CBI1404_ELEC_7_01,هزینه پردازش اعلام مانده، صورت حساب 10 گردش آخر، انتقال وجه درون بانکی/ مستمر سپرده/ کارت به سپرده/ کارت و ...,مبلغ ثابت,FIXED,Flat,450,,,,,,IRR,,,,SAFE,,1f56ac92ae804544d497794aea69086a56e5b0111b84e43df051f5b2784fbde9,
164,175,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,8,,CBI1404_ELEC_8_01,انتقال وجه شتابی کارت به کارت/ انتقال وجه کارت به شبا (خدمت سحاب),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,5f822bb721f8f03ba3d9e267b90b2eea93c5263d3b0ccb3339da6de6511803b4,
165,176,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,9,,CBI1404_ELEC_9_01,ارسال پیامک اطالع رسانی تراکنش حساب مشتریان,مبلغ ثابت,FIXED,Flat,370,,,,,,IRR,,,,SAFE,,8e41b68cd620ae17ec2d6925f7dc64fb691a63d3752b1a255d2b4ab6d15610fa,
166,177,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,10,,CBI1404_ELEC_10_01,انتقال وجه بین بانکی پایا - دستور پرداخت انفرادی,درصد,PERCENTAGE_FLOOR_CAP,Percentage,,0.01,0.0001,3000,7000,,IRR,,,,SAFE,,4922399530e48091e867a0aab06bf03b0a26b574e8566f5406b32d0e708e8431,
