logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
62,63,حساب های قرض الحسنه پس انداز و سپرده کوتاه مدت,SAV,CBI_SAVINGS_DEPOSIT_FEE_GROUP,6-2-2,,CBI1404_SAV_6_2_2_01,افتتاح حساب سپرده کوتاه مدت,مبلغ ثابت,FIXED,Flat,75000,,,,,,IRR,,"75,000 ریال",افتتاح حساب سپرده کوتاه مدت,SAFE,,d1ea547c11e918d8b52d976c9a836d9e75d9d22e2a471e77ff35febd77584b10,
63,64,حساب های قرض الحسنه پس انداز و سپرده کوتاه مدت,SAV,CBI_SAVINGS_DEPOSIT_FEE_GROUP,6-2-3,,CBI1404_SAV_6_2_3_01,صدور هر جلد دفترچه صرفاً جهت حساب های کوتاه مدت,مبلغ ثابت,FIXED,Flat,60000,,,,,,IRR,,"60,000 ریال",صدور هر جلد دفترچه صرفاً جهت حساب های کوتاه مدت,SAFE,,e105cd8c1e50b173f083dff769bf020f1575bc491b241962a6e13ccb654dff59,
64,65,صدور گواهی,CERT,CBI_CERTIFICATE_FEE_GROUP,6-3-1,,CBI1404_CERT_6_3_1_01,صدور هرگونه گواهی حساب,مبلغ ثابت,FIXED,Flat,126000,,,,,,IRR,,"126,000 ریال",صدور هرگونه گواهی حساب,SAFE,,f50b67affa633995cca14f4fc9a890ab1793724fc705ac4a759c5a3f4e5a6549,
65,66,صدور گواهی,CERT,CBI_CERTIFICATE_FEE_GROUP,6-3-2,,CBI1404_CERT_6_3_2_01,صدور گواهی حساب به لاتین,مبلغ ثابت,FIXED,Flat,270000,,,,,,IRR,فقره,"270,000 ریال",صدور گواهی حساب به التین هر فقره,SAFE,,4f3e9287ad34afa1620a71ce00d2e431c791a3289cd8757a1c871bc960e982c3,
66,67,صدور گواهی,CERT,CBI_CERTIFICATE_FEE_GROUP,6-3-3,,CBI1404_CERT_6_3_3_01,صدور المثنی گواهی سپرده های ویژه کوتاه مدت و بلندمدت,مبلغ ثابت,FIXED,Flat,82500,,,,,,IRR,,"82,500 ریال",صدور المثنی گواهی سپرده های ویژه کوتاه مدت و بلندمدت,SAFE,,be0d551592650ccc6263b6642229a6704fa423e3484fe3030d2e7580d5d2870b,
67,68,ارائه صورت حساب,STMT,CBI_STATEMENT_FEE_GROUP,6-4-2,,CBI1404_STMT_6_4_2_01,ارائه صورت حساب سال جاری/ سال های گذشته (جهت کلیه حساب ها) به صورت حضوری,مبلغ ثابت,FIXED,Flat,9000,,,,,,IRR,صفحه,"9,000 ریال",صورت حساب سال جاری/ سال های گذشته (جهت کلیه حساب ها) به صورت حضوری,SAFE,,6584ed58996ede5c710f94b5d87f2b772a93c0e5b1b8f40c5a9a473698821d4f,
68,69,ارائه صورت حساب,STMT,CBI_STATEMENT_FEE_GROUP,6-4-2,,CBI1404_STMT_6_4_2_02,ارائه صورت حساب مشتری به صورت فایل,مبلغ ثابت,FIXED,Flat,60000,,,,,,IRR,,"60,000 ریال",ارائه صورت حساب مشتری به صورت فایل,SAFE,,5572b7e2add65c16b75d350bbb07ac25a9c5ea413d5d3182d9c3e6bd8c4a6c96,
69,70,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-1,,CBI1404_ACCSVC_6_5_1_01,ارتباط هر حساب جدید با کارت(پس از صدور کارت) - درخواست حضوری از طریق مراجعه به شعب,مبلغ ثابت,FIXED,Flat,27000,,,,,,IRR,,"27,000 ریال",ارتباط هر حساب جدید با کارت(پس از صدور کارت) - درخواست حضوری از طریق مراجعه به شعب,SAFE,,a72b0837b0e6e2be8738fedd5b44c1654a01547f4b3ece0ab316258f15131bec,
70,71,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-2,,CBI1404_ACCSVC_6_5_2_01,تغییر حساب اصلی کارت- درخواست حضوری از طریق مراجعه به شعب,مبلغ ثابت,FIXED,Flat,45000,,,,,,IRR,,"45,000 ریال",تغییر حساب اصلی کارت- درخواست حضوری از طریق مراجعه به شعب,SAFE,,ea96e94bf67fdf54eca619a4d79e1c0955a5bdf5a137c9a5805602a6520fa734,
71,72,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-3,,CBI1404_ACCSVC_6_5_3_01,فعال سازی حساب های راکد- به صورت حضوری هر حساب,مبلغ ثابت,FIXED,Flat,33000,,,,,,IRR,هر حساب,"33,000 ریال",فعال سازی حساب های راکد- به صورت حضوری هر حساب,SAFE,,ff8138e915b8a6280191b513b48a89be9f17ddc2be636711c66624c8e04ef071,
72,73,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-4,,CBI1404_ACCSVC_6_5_4_01,فعال سازی حساب های مطالبه نشده و تعیین تکلیف نشده- به صورت حضوری هر حساب,مبلغ ثابت,FIXED,Flat,33000,,,,,,IRR,هر حساب,"33,000 ریال",فعال سازی حساب های مطالبه نشده و تعیین تکلیف نشده- به صورت حضوری هر حساب,SAFE,,a867cc447ee4a55ede7d11c04765706fcd380afe3d00805e2f5256c416c71ac3,
73,74,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-5,,CBI1404_ACCSVC_6_5_5_01,انتقال و واگذاری سپرده بلندمدت و سپرده کوتاه مدت ویژه به اشخاص درجه اول (بابت هر بار انتقال),مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,,"90,000 ریال",,SAFE,,35be1471fbf0e4bcd8305cf1014d562d0bbed415c28c3dcc265223855d1a0274,
74,75,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-5,,CBI1404_ACCSVC_6_5_5_02,انسداد یا رفع انسداد حساب/ کارت به درخواست مشتری (همه حساب ها) - به صورت حضوری,مبلغ ثابت,FIXED,Flat,45000,,,,,,IRR,,,,SAFE,,596cfe2aee681201818863b1848158ae9bd799dcc43d0e9b9990241214fa97e6,
75,76,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,,,CBI1404_ACCSVC_SRC76_01,"تغییر در شرایط/اطلاعات حساب های بانکی (صاحبان امضا , آدرس و ...) به درخواست مشتری به صورت حضوری اشخاص حقیقی",مبلغ ثابت,FIXED,Flat,30000,,,,,,IRR,,,,SAFE,,af15b5b51d429a63cdee55004f5af6a5cff1cea4b148bc49cd246f4b05195f35,
76,77,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,,,CBI1404_ACCSVC_SRC77_01,"تغییر در شرایط/اطلاعات حساب های بانکی (صاحبان امضا , آدرس و ...) به درخواست مشتری به صورت حضوری اشخاص حقوقی",مبلغ ثابت,FIXED,Flat,75000,,,,,,IRR,,,,SAFE,,dbc1d3c26993cbb8b9dc29a1db69332192a29b5ae3e464c3890dbbf577cb6abe,
77,78,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-5,,CBI1404_ACCSVC_6_5_5_03,برقراری ارتباط بین حساب ها با لحاظ کف و سقف مبلغ بابت هر نوبت (به استثنای تأمین وجه چک),مبلغ ثابت,FIXED,Flat,30000,,,,,,IRR,,,,SAFE,,0acf8f9fc33c89b004ffe4cba3122dbf8a7dc030b4c3be41ff50487e36d450dd,
78,79,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,,,CBI1404_ACCSVC_SRC79_01,ثبت حضوری دستور پرداخت مستمر (برای هر بار تعریف) اشخاص حقیقی,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,,,SAFE,,58686cb3d20d4eb506620dd32d9b6f2efe1dd66e562b22658dcfae0b26e142fa,
79,80,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,,,CBI1404_ACCSVC_SRC80_01,ثبت حضوری دستور پرداخت مستمر (برای هر بار تعریف) اشخاص حقوقی,مبلغ ثابت,FIXED,Flat,62500,,,,,,IRR,,,,SAFE,,2f71e7112cf2f69ef7f9a97987e0d8e200213949c3488727a31d66d233a3ca7c,
80,81,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-10,,CBI1404_ACCSVC_6_5_10_01,انتقال سایر سپرده ها(اعم از پس انداز، کوتاه مدت و بلندمدت) به شعب دیگر در هر شهر,مبلغ ثابت,FIXED,Flat,137500,,,,,,IRR,,"137,500 ریال+ هزینه پست درصورت وجود",انتقال سایر سپرده ها(اعم از پس انداز، کوتاه مدت و بلندمدت) به شعب دیگر در هر شهر,SAFE,,b954fa11280037762534dac4d179e49f7d6dbee63669592b15afaa4372adf6b4,
81,82,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-11,,CBI1404_ACCSVC_6_5_11_01,انسداد یا رفع انسداد حساب یا موجودی که از سوی مراجع ذی صالح به هر طریق به بانک اعلام می گردد,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,انسداد یا رفع انسداد حساب یا موجودی که از سوی مراجع ذی صالح به هر طریق به بانک اعالم می گردد,SAFE,,f8968872bcccec5cb4d4b6acd7267142f45d04bb42d818902149352cd8b46c67,
82,83,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-12,,CBI1404_ACCSVC_6_5_12_01,صدور رمز جدید برای انواع کارت های بانکی موجود(نقدی، اعتباری و هدیه) در شعبه به درخواست مشتری,مبلغ ثابت,FIXED,Flat,15000,,,,,,IRR,,"15,000ریال",صدور رمز جدید برای انواع کارت های بانکی موجود(نقدی، اعتباری و هدیه) در شعبه به درخواست مشتری,SAFE,,f123f5b4ff12e1bc87fd4c90339915ea6d7c7243d90ae309cde8f86cd62d8032,
83,84,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-13,,CBI1404_ACCSVC_6_5_13_01,بررسی تراکنش های کارت های سرقتی به درخواست مشتری بابت هر شماره پیگیری,مبلغ ثابت,FIXED,Flat,25000,,,,,,IRR,,"25,000 ریال",بررسی تراکنش های کارت های سرقتی به درخواست مشتری بابت هر شماره پیگیری,SAFE,,7294a51b735ac9b9b94a3327bf9065e42347d6a70c73e61833ebb533d1749c94,
84,85,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-13,,CBI1404_ACCSVC_6_5_13_02,اعمال محدودیت کارت بنا به درخواست مشتری (تعیین سقف برداشت / واریز به حساب با مسئولیت مشتری),مبلغ ثابت,FIXED,Flat,25000,,,,,,IRR,,"25,000 ریال",,SAFE,,60cc081671c789f04e2f6e9dae9896141de875da74d91adff40ee4ba8711f6b7,
85,86,سایر خدمات انواع حساب,ACCSVC,CBI_ACCOUNT_SERVICE_FEE_GROUP,6-5-15,,CBI1404_ACCSVC_6_5_15_01,بستن حساب در شعبه ای غیر از شعبه افتتاح کننده حساب,مبلغ ثابت,FIXED,Flat,62500,,,,,,IRR,,"62,500 ریال",بستن حساب در شعبه ای غیر از شعبه افتتاح کننده حساب,SAFE,,1bb24baf3c72fb2cfeed059be12e51a5c86247ca17c96d8e15a7b7f816b1f169,
86,"87,88,89",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-1,,CBI1404_APP_7_1_01,ارزیابی ماشین آلات و کالا,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",ارزیابی ماشین آالت و کاالتا,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,b1a7cceb632d37bb87970e583990a6950af73c0849d95ca1d9acb26fc0e6b21f,2000000000
87,"90,91,92",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-2,,CBI_PROPERTY_APPRAISAL_FEE,ارزیابی املاک و ساختمان,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"بیست میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از بیست میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,EXISTING_ENRICHED,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,28a3486d0ac6ee25e20f4944795a6351f1b803426da61712e6f48f2dbf33cc84,20000000000
88,"93,94,95",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_01,ارزیابی املاک مزروعی و باغات,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,033144495948958b8d1348ff82103a68b30d0f425bfb685f2b79ad012a45dad3,2000000000
89,"96,97,98",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_02,ارزیابی تسهیلات مشارکت مدنی و پیشرفت فیزیکی پروژه ها (برآورد هزینه و آورده غیرنقدی شریک),پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,0dfbb498627f78be3a733a5abe2d1f89ca30ada0881a927afcec62d73b4991c7,2000000000
90,99,ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_03,ارزیابی و بازدید تسهیلات تعمیر مسکن/ بازدید نوبت های اضافی تسهیلات تعمیر مسکن در قالب کلیه عقود,مبلغ ثابت,FIXED,Flat,625000,,,,,,IRR,,"مقطوع 625,000 ریال",,SAFE,,a4c1413638b6d22d474e90624c8846be94dbed13b9106eee4608c30565efd8fe,
91,100,ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_04,ارزیابی مجدد به درخواست مشتری (به غیر از تسهیلات جعاله تعمیر مسکن),,EXTERNAL_VALUE,Other,,,,,,,IRR,,الف) در صورتی که ارزیابی مجدد به درخواست مؤسسه اعتباری یا سایر مراجع ذی صالح انجام شود، کارمزدی از مشتری اخذ نخواهد شد؛ ب) در صورتی که ارزیابی مجدد به درخواست مشتری انجام شود و تاریخ درخواست مشتری تا 6 ماه پس از ارزیابی قبلی باشد، حداکثر کارمزد قابل مطالبه به مأخذ 30 درصد رقم کل کارمزد ارزیابی محاسبه و اخذ شود و اگر تاریخ درخواست مشتری پس از 6 ماه از ارزیابی قبلی باشد، در چارچوب ردیف های(1-7) الی(4-7) کارمزد ارزیابی اموال دریافت شود.,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,e2a1e28b3fccfdab1aab2a72597e2ccbe6b1422445cea51304d6ce4e0eb8ef85,
92,"101,102,103",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_05,ارزیابی وثایق غیرمنقول مازاد,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,7f4a37665a0af96d376233d450abfb2a3db2bd44faa8b0bd13ce637c0d07f5b9,2000000000
93,104,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-1,,CBI1404_CRD_8_1_01,اخذ استعلام اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,پلکانی,EXTERNAL_VALUE,Other,,,,,,,IRR,,مطابق تعرفه ابالغی بانک مرکزی به شرکت مذکور,اخذ استعالم اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,EXTERNAL_RULE,فایل منبع نوع را پلکانی اعلام کرده ولی پله های ساختاری قابل اتکا در همان ردیف وجود ندارد.,e72fa94b44724fd78a33325b5b7710c3629344f9b580f08530d2590493250e68,
94,105,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-2,,CBI1404_CRD_8_2_01,واگذاری سهم الشرکه بانک به غیر,,EXTERNAL_VALUE,Other,,,,,,,IRR,,مطابق تعرفه ارزیابی اموال منقول و غیرمنقول مندرج در سرفصل 7,واگذاری سهم الشرکه بانک به غیر,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,c76035c336eacf5b0d68913497e1e7304d1931d53bd0e1f75b8709478f4241f7,
95,106,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-3,,CBI1404_CRD_8_3_01,تمدید تسهیلات عقود مشارکتی,درصد,PERCENTAGE_WITH_CAP,RateWithMaximumAmount,,0.5,0.005,,3600000,,IRR,,"0/5 درصد مبلغ تسهیالت حداکثر 3,600,000 ریال",تمدید تسهیالت عقود مشارکتی,SAFE,,f70fdd3b5885b460d1c1eb720a939289a5d24081373cc8731187a5368f131e2d,
96,107,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-4,,CBI1404_CRD_8_4_01,بررسی اصالت پیش فاکتور,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,بررسی اصالت پیش فاکتور,SAFE,,aab3d9e357aaa9608b1dfd3d7462f4961df0dcc6b4dedd81d20eb5c1e934c582,
97,108,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-5,,CBI1404_CRD_8_5_01,صلح حقوق یا انتقال تعهد,درصد مبلغ با حداقل/حداکثر,PERCENTAGE_FLOOR_CAP,Percentage,,1,0.01,1800000,9000000,,IRR,,"یک درصد مانده اصل تسهیلات قابل انتقال، حداقل ریال 1,800,000 و حداکثر 9,000,000 ریال",صلح حقوق یا انتقال تعهد,SAFE,,4aa0f884497559b58d85948d821c9be4c4d269f1bd6809f2fbbc89a607b5f7d6,
98,109,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-6,,CBI1404_CRD_8_6_01,تغییر در شرایط,مبلغ ثابت,FIXED,Flat,137500,,,,,,IRR,,"137,500 ریال",تغییر در شرایط قراردادمقطوع,SAFE,,e451b21a309870769c562ea01b2b9db23856d588400aaaca6d22e8c4277f9722,
99,110,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-7,,CBI1404_CRD_8_7_01,تفکیک، تغییر و تعویض رهینه یا وثیقه,مبلغ ثابت,FIXED,Flat,1800000,,,,,,IRR,,"1,800,000 ریال",تفکیک، تغییر و تعویض رهینه یا وثیقه مقطوع,SAFE,,668b82e07f2f43dfb46d86a090b430d6b0774ccdbee295b3322251e1cbc2cdfd,
100,111,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-8,,CBI1404_CRD_8_8_01,اقاله ملک,مبلغ ثابت,FIXED,Flat,2700000,,,,,,IRR,,"2,700,000 ریال",اقاله ملک,SAFE,,bb6ee82c694c1223fbc0d8d58ce0ce4f61a52a53104e17f9a24cb9d5e6c6722b,
101,112,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-8,,CBI1404_CRD_8_8_02,**امور مربوط به نظارت بر مصرف تسهیالت مشارکت مدنی (جهت انواع تسهیلاتی که به صورت تدریجی، مرحله ای و متناسب با پیشرفت کار پرداخت می گردد),درصد,PERCENTAGE,Percentage,,0.05,0.0005,,,,IRR,,0/5 در هزار مبلغ پرداخت شده در مرحله قبل,**امور مربوط به نظارت بر مصرف تسهیالت مشارکت مدنی (جهت انواع تسهیالتی که به صورت تدریجی، مرحله ای و متناسب با پیشرفت کار پرداخت می گردد),SAFE,,ba10fd94ec7d088c02f5d8c64ee86f5d407e6404568f960e23f1a13864236858,
102,113,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-10,,CBI1404_CRD_8_10_01,امور مربوط به بررسی رهن مازاد سایر سازمان ها و بانک ها,مبلغ ثابت,FIXED,Flat,1800000,,,,,,IRR,,"1,800,000 ریال",امور مربوط به بررسی رهن مازاد سایر سازمان ها و بانک ها,SAFE,,bf9947b6d5b8bbb4c9c653dd4e5036f2482e3ddaa3bc350ddf676f6059ccecb0,
103,114,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-11,,CBI1404_CRD_8_11_01,تکمیل فرم یارانه تسهیلات تکلیفی,مبلغ ثابت,FIXED,Flat,165000,,,,,,IRR,,"165,000 ریال",تکمیل فرم یارانه تسهیالت تکلیفی,SAFE,,59eaa62189b32516cbec3e21e2e3619f6d9219134b96f57b02273f25be28acf7,
104,115,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-12,,CBI1404_CRD_8_12_01,صدور اخطار کتبی جهت اقساط یا مطالبات غیرجاری,مبلغ ثابت,FIXED,Flat,36000,,,,,,IRR,,"36,000 ریال به عالوه هزینه پستی(در صورت وجود)",صدور اخطار کتبی جهت اقساط یا مطالبات غیرجاری هر برگ,SAFE,,878c5667ddf2168ccebbab9334c9c55ac03a187ac870602ce077fe67e222e95f,
105,116,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-13,,CBI1404_CRD_8_13_01,انتقال ملک مرهونه به شخص ثالث,مبلغ ثابت,FIXED,Flat,1800000,,,,,,IRR,,"1,800,000 ریال",انتقال ملک مرهونه به شخص ثالث,SAFE,,c7d63b7304ec0106c7efb40e919e2922ef90a0850fbddb0dea53a8b25b19a063,
106,117,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-14,,CBI1404_CRD_8_14_01,تغییر ضامنین تسهیلات,مبلغ ثابت,FIXED,Flat,1800000,,,,,,IRR,,"1,800,000 ریال",تغییر ضامنین تسهیالت,SAFE,,60f14f2b449fd9a472b9a6887aab31b6b404a66d8291c4dd2136b568054322bb,
107,118,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-15,,CBI_UNUSED_LIMIT_COMMITMENT_FEE,عدم استفاده از حد اعتباری تسهیالت مصوب بعد از 45 روز از تاریخ ابلاغ (Commitment fee),درصد,ANNUALIZED_PERCENTAGE,Percentage,,1,0.01,,,YEAR,IRR,,یک درصد در سال به ازای مانده استفاده نشده از تاریخ ابالغ,عدم استفاده از حد اعتباری تسهیالت مصوب بعد از 45 روز از تاریخ ابالغ (Commitment fee),EXISTING_ENRICHED,,5fc7f88807a0a6179d1da95c5487d363f5164f579ca610fb588e1a9e11be5aea,
108,119,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-16,,CBI_CREDIT_EXPERTISE_FEE,هزینه کارشناسی(ارزیابی) طرح ها,,EXTERNAL_VALUE,Other,,,,,,,IRR,,1/5 در هزار تسهیالت مصوب(فقط سهم بانک) شامل 0/5 در هزار مبلغ درخواستی به هنگام پذیرش طرح محاسبه و از مشتری اخذ گردیده و غیرقابل برگشت می باشد و مابقی آن در صورت تصویب تا میزان 1/5 در هزار پس از کسر 0/5 در هزار مبلغ مأخوذه قبلی، در زمان انعقاد قرارداد از مشتری اخذ می گردد.,هزینه کارشناسی(ارزیابی) طرح ها,EXISTING_ENRICHED,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,fb62911eb612f2b1a70af4da5a3f8b6c6bffb54f43711e766af38cdc03ac9e26,
109,120,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-17,,CBI1404_CRD_8_17_01,هزینه کارشناسی تسهیلات سرمایه در گردش,درصد,PERCENTAGE,Percentage,,0.05,0.0005,,,,IRR,,0/5 در هزار تسهیلات مصوب(فقط سهم بانک),هزینه کارشناسی تسهیالت سرمایه در گردش,SAFE,,9fc6d475a5bf74019a252a315a09576bccb9c4ec3b891f8d820eb132f341a8ed,
110,121,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-18,,CBI1404_CRD_8_18_01,هزینه کارشناسی کالاهای سرمایه ای واحدهای تولیدی، خدماتی و بازرگانی خارج از طرح ***,,EXTERNAL_VALUE,Other,,,,,,,IRR,,در هزار تسهیالت مصوب(فقط سهم بانک) جهت تأمین کاالهای سرمایه ای شامل 0/5 در هزار مبلغ درخواستی به هنگام پذیرش طرح محاسبه و از مشتری اخذ گردیده و غیرقابل برگشت می باشد و مابقی آن در صورت تصویب تا میزان 1/5 در هزار پس از کسر 0/5 در هزار مبلغ مأخوذه قبلی، در زمان انعقاد قرارداد از مشتری اخذ می گردد.,هزینه کارشناسی کاالهای سرمایه ای واحدهای تولیدی، خدماتی و بازرگانی خارج از طرح ***,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,7555249291459eeebfac317731936886f59c37889be70abb2166ea7511ad50a8,
111,122,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-18,,CBI1404_CRD_8_18_02,"تهیه گزارش اطلاعات اعتباری مشتمل بر استعلام از شاهکار , آدرس , استفاده از سامانه های داخلی , لیست سیاه و ... می باشد. (تسهیلات/تعهدات) اشخاص حقیقی",مبلغ ثابت,FIXED,Flat,450000,,,,,,IRR,,"اشخاص حقیقی 450,000 ریال",,SAFE,,f0bcea0da824f5de15918b2757f38ac2160b520b90141eeb65d27ea34aaeb5ae,
112,123,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-18,,CBI1404_CRD_8_18_03,"تهیه گزارش اطلاعات اعتباری مشتمل بر استعلام از شاهکار , آدرس , استفاده از سامانه های داخلی , لیست سیاه و ... می باشد. (تسهیلات/تعهدات) اشخاص حقوقی",مبلغ ثابت,FIXED,Flat,1800000,,,,,,IRR,,"اشخاص حقوقی 1,800,000 ریال",,SAFE,,21a6acb0a8a88abec3c6dc06e87e08b30da8c863516ed53ca25469840474a37b,
