tariff_code,section_no,section_code,feature_code,section_name,service_name,fee_text,fee_code,category_code,strategy,basis_type,fixed_amount,rate_value,min_fee,max_fee,rate_period_code,component_count,composite,page,source_row,config_hash
3-5,3,SDB,CBI_RIAL_1405_SAFE_DEPOSIT_GROUP,صندوق های اجاره ای,هماهنگی جهت بازدید از صندوق اجاره ای به درخواست مراجع ذی صلاح,بدون کارمزد,CBI1405R_SDB_3_5,CBI1405R_SDB,FIXED,Flat,0,,,,,1,خیر,2,30,08072d74bc6747801e97a745e4cb29c06f8c2cfa2655d54639aa56baf28a7cad
4-1,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),انتقال هر برگ اوراق گواهی حق تقدم اعطای تسهیلات,"66,000 ریال",CBI1405R_SEC_4_1,CBI1405R_SEC,FIXED,Flat,66000,,,,,1,خیر,3,31,a8b6b4d3b345562825bf5b7854e037a42240164e6bd42aff00a3bb9f18efec70
4-2,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),صدور هر برگ المثنی اوراق حق تقدم اعطای تسهیلات,"110,000 ریال",CBI1405R_SEC_4_2,CBI1405R_SEC,FIXED,Flat,110000,,,,,1,خیر,3,32,ace5e32719b1e0589681e83ae4fdc9aa22b47db60dd7f87a07f8d0d938e2f3d4
4-3,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),تضمین اصل و سود اوراق بدهی توسط مؤسسه اعتباری عامل,حداقل به میزان کارمزد صدور ضمانتنامه ها متناسب با وثایق و حداکثر تا دو برابر آن به مأخذ مجموع مانده اصل و سود اوراق بدهی در پایان هر سال,CBI1405R_SEC_4_3,CBI1405R_SEC,COMPOSITE,Other,,,,,,1,بله,3,33,2fafbf1a111ed3c18343e6e39b6b09ebfd7a2a217aa002746f3734586262d340
4-4,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),انتقال اوراق بهادار/نقل و انتقال اوراق گواهی سپرده با نام به شخص ثالث,"نیم در هزار مبلغ مورد انتقال، حداکثر 480,000 ریال",CBI1405R_SEC_4_4,CBI1405R_SEC,PERCENTAGE_WITH_CAP,RateWithMaximumAmount,,0.0005,,480000,,1,خیر,3,34,1888de836789bf23bda5d428b2c612635818392c58da3bd8ec9193b12cff6977
4-5,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),عاملیت و ضمانت اوراق گواهی اعتبار مولد (گام),حداکثر به میزان کارمزد صدور ضمانتنامه ها و متناسب با وثایق دریافتی,CBI1405R_SEC_4_5,CBI1405R_SEC,COMPOSITE,Other,,,,,,1,بله,3,35,286fb05e79862164c27de33cd7967db15f3406b8530e93a2fc0c96931a35b698
4-6,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),انتقال اوراق گواهی اعتبار مولد (گام),حداکثر به میزان یک دهم درصد مبلغ اوراق انتقال یافته,CBI1405R_SEC_4_6,CBI1405R_SEC,PERCENTAGE,Percentage,,0.001,,,,1,خیر,3,36,2998e24db2b3ea91424021bf25ea50f065d210a1e8e3c874412635598588be87
4-7,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),ابطال اوراق گواهی اعتبار مولد (گام) در لایه اول زنجیره تولید (از متقاضی) (1),حداکثر نیم در هزار مبلغ ابطال اوراق,CBI1405R_SEC_4_7,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,3,37,d19a0a0c3c9bec30b333aaffb32f87ff485c0b258397bbc46bd172ccc05ee109
4-8,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),انتقال اوراق گام به بازار سرمایه (با نماد بازار سرمایه),حداکثر نیم در هزار مبلغ مورد انتقال,CBI1405R_SEC_4_8,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,3,38,6395d804a347c0ac4de5bec624a663dad0a44e9d29405b62eb5360d4785b18a9
4-9,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),تنزیل (خرید دین) اوراق گام (با نماد بازار پول),حداکثر نیم در هزار مبلغ تنزیل شده,CBI1405R_SEC_4_9,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,3,39,2b64241dc04b8c36cde8916b65c90420b5de0a76d194dbd35e8e1cdef1789bd6
