action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_7_01,6-1-7,چک های واگذاری عهده سایر بانک ها(از ذی نفع چک),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_8_01,6-1-8,انتقال وجه از سایر حساب ها بابت تأمین وجه چک حساب,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_CHEQUEBOOK_ISSUE_FEE,6-1-9,صدور دسته چک,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_10_01,6-1-10,صدور المثنی گواهی نامه عدم پرداخت صادر شده قبلی به درخواست مشتری,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_11_01,6-1-11,ابطال چک جاری اشخاص به درخواست مشتری با ارائه چک باطل شده,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_12_01,6-1-12,اخذ صورت اطلاعات چک های برگشتی به درخواست مشتری,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_13_01,6-1-13,افتتاح حساب جاری موقت(در شرف تأسیس),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_14_01,6-1-14,تحویل دسته چک در شعبه غیر از دارنده حساب جاری,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_15_01,6-1-15,نگهداری امانی چک های با سررسید بیش از 30 روز (به استثنای چک های تسهیلاتی),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_16_01,6-1-16,صدور چک موردی جاری اشخاص,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SAV_6_2_1_01,6-2-1,افتتاح حساب و صدور دفترچه سپرده قرض الحسنه پس انداز,CBI_SAVINGS_DEPOSIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SAV_6_2_2_01,6-2-2,افتتاح حساب سپرده کوتاه مدت,CBI_SAVINGS_DEPOSIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SAV_6_2_3_01,6-2-3,صدور هر جلد دفترچه صرفاً جهت حساب های کوتاه مدت,CBI_SAVINGS_DEPOSIT_FEE_GROUP,2026-09-09
